Naziv,Šifra,Marka,Jedinica mjere,Cijena za jedinicu mjere,Maloprodajna cijena EUR,Poseban oblik prodaje,Naziv posebnog oblika prodaje,Sidrena cijena EUR (10.09.2026.),Barkod,Dostupnost
JVD papirnata meta za gađanje – 3 mete,META-001,JVD Archery,,,2.00,NE,,2.00,,dostupno
Gettix merino lovačke čarape – veličina 40–42,ČAR-001,Gettix,,,22.90,NE,,22.90,,dostupno
Nordforest merino lovačke čarape (2 para) – veličina 42–44,ČAR-002,Nordforest,,,29.90,NE,,29.90,,dostupno
Huntworth Bonded Softshell lovačka jakna – L,ODJ-001,Huntworth,,,129.00,NE,,129.00,,dostupno
Set noževa za obradu divljači,NOZ-010,Generic,,,59.90,NE,,59.90,,nedostupno
Huntworth Bonded Softshell lovačka jakna – XL,ODJ-002,Huntworth,,,129.00,NE,,129.00,,dostupno
Huntworth Knit Jersey lovačka hoodie majica – L,ODJ-003,Huntworth,,,69.00,NE,,69.00,,dostupno
Huntworth Knit Jersey lovačka hoodie majica – XL,ODJ-004,Huntworth,,,69.00,NE,,69.00,,dostupno
Halo Optics XL450 laserski daljinomjer,OPT-001,Halo Optics,,,189.90,NE,,189.90,,dostupno
Alps Outdoorz Vantage nosač za dalekozor,OPR-001,ALPS OutdoorZ,,,79.00,NE,,79.00,,dostupno
Morakniv Eldris lovački nož,NOZ-001,Morakniv,,,27.90,NE,,27.90,,dostupno
Helle Speider puukko lovački nož,NOZ-002,Helle,,,79.00,NE,,79.00,,dostupno
PNI Hunting 751 lovačka kamera sa solarnim panelom,OPT-002,PNI,,,129.90,NE,,129.90,,nedostupno
Scentlok lagane lovačke rukavice – L,RUK-001,ScentLok,,,34.00,NE,,34.00,,dostupno
Huntworth Decatur Hybrid lovačke rukavice – L,RUK-002,Huntworth,,,30.00,NE,,30.00,,dostupno
Meat Seeker lovačke rukavice – L,RUK-003,Meat Seeker,,,38.00,NE,,38.00,,dostupno
Böker Magnum Saufanger HL lovački nož,NOZ-003,Boker,,,59.00,NE,,59.00,,nedostupno
Gerber Exo‑Mod Drop Point lovački nož,NOZ-004,Gerber,,,54.90,NE,,54.90,,dostupno
Alps Outdoorz Slip Ring torba za opremu,OPR-011,ALPS OutdoorZ,,,30.00,NE,,30.00,,dostupno
NEMO Forte vreća za spavanje 35,VRS-001,NEMO,,,199.90,NE,,199.90,,dostupno
ALPS Mountaineering Vibe vreća za spavanje Regular – kamping vreća,VRS-002,Alps Mountaineering,,,112.00,NE,,112.00,,dostupno
Alps Outdoorz Lynx šator za jednu osobu,ŠAT-001,ALPS OutdoorZ,,,139.00,NE,,139.00,,dostupno
Alps Mountaineering Apex podloga za spavanje,POD-001,Alps Mountaineering,,,84.00,NE,,84.00,,dostupno
Alps Mountaineering Camp Cot XL kamp krevet,KRE-001,Alps Mountaineering,,,165.00,NE,,165.00,,dostupno
Alps Mountaineering Rendezvous Elite kamp stolica,KAM-001,Alps Mountaineering,,,72.00,NE,,72.00,,dostupno
Armytek Elf C1 LED svjetiljka USB,SVJ-001,Armytek,,,72.00,NE,,72.00,,dostupno
Armytek Viking Pro LED svjetiljka,SVJ-002,Armytek,,,120.00,NE,,120.00,,dostupno
Alps Outdoorz Ranger Youth lovački ruksak,OPR-013,ALPS OutdoorZ,,,54.00,NE,,54.00,,dostupno
Alps Outdoorz remen za patrone,REM-001,ALPS OutdoorZ,,,32.00,NE,,32.00,,dostupno
Alps Outdoorz Covert 2.0 lovački ruksak,OPR-004,ALPS OutdoorZ,,,85.00,NE,,85.00,,dostupno
Alps Outdoorz Prospector lovačka torba,OPR-005,ALPS OutdoorZ,,,42.00,NE,,42.00,,dostupno
Huntworth Winsted lovačke hlače – L,ODJ-005,Huntworth,,,109.00,NE,,109.00,,dostupno
Huntworth Winsted lovačke hlače – XL,ODJ-006,Huntworth,,,109.00,NE,,109.00,,dostupno
Hawk Cinch Deer Drag remen za izvlačenje divljači,REM-002,Hawk,,,29.00,NE,,29.00,,dostupno
Muddy držač za lovačku opremu,OPR-009,Muddy,,,17.00,NE,,17.00,,dostupno
Grundens Bering Fleece Pro prsluk – XL,ODJ-007,Grundens,,,79.90,NE,,79.90,,dostupno
Alps Outdoorz Tri‑Leg kamp stolica,KAM-002,ALPS OutdoorZ,,,26.90,NE,,26.90,,dostupno
Huntworth Patch Logo kapa,ODJ-014,Huntworth,,,19.90,NE,,19.90,,dostupno
Huntworth Trucker kapa,ODJ-008,Huntworth,,,19.90,NE,,19.90,,dostupno
Anar Jussa merino kapa – crvena,ODJ-009,Anar,,,34.90,NE,,34.90,,dostupno
Huntworth Ashland majica kratkih rukava – XL,ODJ-010,Huntworth,,,24.99,NE,,24.99,,dostupno
Huntworth Ashland majica kratkih rukava – L,ODJ-011,Huntworth,,,24.99,NE,,24.99,,dostupno
Huntworth Fallon majca dugih rukava – XL,ODJ-012,Huntworth,,,44.90,NE,,44.90,,dostupno
Huntworth Fallon majca dugih rukava – L,ODJ-013,Huntworth,,,44.90,NE,,44.90,,dostupno
Morakniv Companion MG Carbon lovački nož,NOZ-006,Morakniv,,,19.90,NE,,19.90,,dostupno
Alps Outdoorz torba za lov (Accessory Call & Game Bag),OPR-012,ALPS OutdoorZ,,,39.00,NE,,39.00,,dostupno
Drvena podloga za trofej srnjaka 22x13 cm,OPR-014,Bez brenda,,,17.90,NE,,17.90,,dostupno
Armytek magnetni nosač svjetiljke AWM-03,OPR-016,Armytek,,,29.90,NE,,29.90,,dostupno
Peltonen M95 Ranger Puukko lovački nož,NOZ-005,Peltonen Knives,,,99.90,NE,,99.90,,dostupno
Peltonen M95 Ranger Puukko lovački nož,NOZ-009,Peltonen Knives,,,99.90,NE,,99.90,,dostupno
Stealth Cam Fusion Max 2 kamera za lov,OPT-003,Stealth Cam,,,139.90,NE,,139.90,,nedostupno
Bežični lovački alarm (Wireless Hunting Alarm),OPT-004,Caliber Hunting,,,59.90,NE,,59.90,,nedostupno
Lapport dvostrani brusni kamen za noževe,OPR-006,Lapport,,,29.90,NE,,29.90,,dostupno
Böker Magnum HL preklopni nož,NOZ-008,Boker,,,44.90,NE,,44.90,,dostupno
Rola Daiwa Ninja LT3000-C (2023),ROL-001,Daiwa,,,74.65,NE,,74.65,,dostupno
Rola Daiwa Crossfire 330FD,ROL-002,Daiwa,,,44.30,NE,,44.30,,dostupno
Vobler Yamashiro BRO 70 mm – boja 02 (S),VAR-019,Yamashiro,,,4.50,NE,,4.50,,dostupno
Vobler Yamashiro BRO 70 mm – boja 04 (S),VAR-020,Yamashiro,,,4.50,NE,,4.50,,dostupno
Vobler Yamashiro BRO 70 mm – boja 02 (F),VAR-021,Yamashiro,,,4.50,NE,,4.50,,dostupno
Vobler Yamashiro BRO 70 mm – boja 04 (F),VAR-022,Yamashiro,,,4.50,NE,,4.50,,dostupno
Vobler Yamashiro SOHARE 100 mm – boja 03,VAR-023,Yamashiro,,,4.50,NE,,4.50,,dostupno
Vobler Yamashiro SOHARE 100 mm – boja 05,VAR-024,Yamashiro,,,4.50,NE,,4.50,,dostupno
Vobler Yamashiro SHUGA 85 mm – boja 03,VAR-025,Yamashiro,,,5.20,NE,,5.20,,dostupno
Vobler Yamashiro SHUGA 85 mm – boja 04,VAR-026,Yamashiro,,,5.20,NE,,5.20,,dostupno
Rola CHRONO 450FD (s najlonom),ROL-003,Pescatore,,,13.90,NE,,13.90,,dostupno
Rola SNIPER 460 freespool,ROL-004,Pescatore,,,19.90,NE,,19.90,,dostupno
Rola Vigor HIDE freespool (s najlonom),ROL-005,Pescatore,,,17.90,NE,,17.90,,dostupno
Rola ATLAS 465FD (s najlonom),ROL-006,Pescatore,,,17.90,NE,,17.90,,dostupno
Rola PERFORMANCE Pro 450FD,ROL-007,Pescatore,,,34.30,NE,,34.30,,dostupno
Rola PERFORMANCE Pro 470FD,ROL-008,Pescatore,,,39.50,NE,,39.50,,dostupno
Štap Seahawk Carp 3.60 m (3 lb),STP-002,Pescatore,,,15.90,NE,,15.90,,dostupno
Štap Allround teleskopski 2.40 m (60 g),STP-003,Seahawk,,,43.20,NE,,43.20,,dostupno
Blinker LAXUS Slim 10 g,VAR-027,Laxus,,,3.00,NE,,3.00,,dostupno
Blinker LAXUS Slim 20 g,VAR-028,Laxus,,,3.60,NE,,3.60,,dostupno
Blinker LAXUS Slim 30 g,VAR-029,Laxus,,,4.75,NE,,4.75,,dostupno
Minnow varalica 9 cm / 7 g – žuto-zelena,VAR-030,Pescatore,,,4.50,NE,,4.50,,dostupno
Minnow varalica 9 cm / 7 g – svijetlo zelena,VAR-031,Pescatore,,,4.50,NE,,4.50,,dostupno
Predvez fluorocarbon s 3 udice veličina 2,SIST-001,Pescatore,,,3.50,NE,,3.50,,dostupno
Predvez fluorocarbon s 3 udice veličina 4,SIST-002,Pescatore,,,3.50,NE,,3.50,,dostupno
Udica vezana HIKARU 221C veličina 4 (0.30 mm),SIST-003,Hikaru,,,3.00,NE,,3.00,,dostupno
Udica vezana HIKARU 221C veličina 6 (0.25 mm),SIST-004,Hikaru,,,3.00,NE,,3.00,,dostupno
Udica vezana HIKARU 221C veličina 8 (0.20 mm),SIST-005,Hikaru,,,3.00,NE,,3.00,,dostupno
Prsluk ribički veličina L,OPR-015,Hikaru,,,33.60,NE,,33.60,,dostupno
Torba za 3 štapa 140 cm (kruta),OPR-017,Pescatore,,,37.70,NE,,37.70,,dostupno
Rola SHINJU 2004 FD,ROL-009,Pescatore,,,27.80,NE,,27.80,,dostupno
Kutijica Mikado s 5 pretinaca 18 × 10.9 × 3.1 cm,KUT-002,Pescatore,,,4.30,NE,,4.30,,dostupno
"Predvez fluorocarbon JAWS 25 cm (15 kg, 2 kom)",SIST-006,Shinju,,,2.70,NE,,2.70,,dostupno
"Predvez fluorocarbon JAWS 35 cm (15 kg, 2 kom)",SIST-007,Mikado,,,2.85,NE,,2.85,,dostupno
Rola CAT TERRITORY 6006 FD,ROL-010,Mikado,,,70.00,NE,,70.00,,dostupno
Štap INTRO TELE CARP II 3.60 m (3 lb),STP-004,Mikado,,,50.50,NE,,50.50,,dostupno
Torba Mikado za štapove i role 160 cm,OPR-018,Mikado,,,31.60,NE,,31.60,,dostupno
